CropId,OffTakeUuid,CropUuid,CropName,CropVariant,GrowMedia,CropImage,CropIcon,IsActive,Yield,Ratio,CreatedOn,CreatedBy,UpdatedOn,UpdatedBy,DeletedOn,DeletedBy,CropDescription,CropGUID,ParentCropGUID,Level,IsDiarySubmited,UnitCollection,IsAnimalCategory,IsLiveStock,CompanyId
1,TigerBrands-C04789,TigerBrands-C04789-1,Tomatoes,Sun Dried,Direct Planting,tomato-85-874x1024_g02drnhv.qus.png,tomato-85-874x1024_ykyonbvu.3xj.png,1,1.00,1.00,2021-02-09 14:36:40.270,NULL,2026-01-06 07:48:07.500,1,NULL,NULL,"Growing tomatoes for U Can Grow is a great way to earn income. When planning your tomato crop, take care to plan for the following factors: 
•	Exposure of fields to wind: 
o	The more and the stronger the wind is that the plants is exposed to the more difficult it is for the plant to grow optimally.  If you have no choice but to plant in windy areas, establish windbreaks to protect your crop.
•	Exposure of fields to sunlight: 
o	The extent to which the crops are exposed to sunlight determines the amount of light exposure, as well as the temperature to which plants will be exposed. The temperatures and sun exposure will influence the growth of the crops. The amount of light and the length of day (number of hours of light) could also be important in determining crop development and should be considered when choosing a crop. High temperatures and arid, dry soil may cause root shock as the roots are taken out of a moist, cool environment and exposed directly to harsh conditions. To avoid root shock one must plant crops during the coolest time of day and water them properly. Make sure soil is moist before planting.
•	Humidity:
o	The more humid an area the higher the potential for more fungal growth. This is not desirable for many crop types, especially those susceptible to fungal infection.  The changes in humidity during the course of the season must also be taken into account.
•	Air: 
o	Plants need a balanced amount of oxygen and carbon dioxide in order to grow optimally. If they are in an area where the air is polluted they will not be able to photosynthesized effectively, which will lead to reduced growth.
",6539A194-E88B-47BD-B6E4-6DFD5DB610AA,NULL,2,1,,0,0,1
2,Tabasco International,TigerBrands-C04790-1,Chilli - Cayanne,Birds eye,Direct Planting,different-types-of-chillies_qn1tf5ys.uhb.jpg,6244686_c3hx2rrq.vn4.png,1,1.00,1.00,2021-02-09 14:36:57.797,NULL,2026-01-06 07:45:55.897,1,NULL,NULL,"Capsicum annuum- Frutescence L. Long Slim Cayenne Peppers
Hot long slim cayenne peppers- Spice full pods red with calyx 
",D3057144-B5F0-4D89-958C-1521518283F3,NULL,2,1,,0,0,1
3,UCG005,UCG005,Beetroot,Rocket,Direct Planting,Beetroot_eju2fijt.uyo.png,beet_6490099_wzwzrrc4.1k0.png,1,1.00,1.00,2021-02-09 14:37:41.230,NULL,2026-01-06 07:44:51.827,1,NULL,NULL,null,C388623E-D809-49B9-B434-3F6BA6F612EB,NULL,2,1,"[{""id"":1,""unit"":""Bunches"",""units"":""1"",""kg"":""1"",""unitWeight"":""1.000"",""avgWeight"":""0"",""count"":""0"",""isLiveStock"":false}]",0,0,1
4,,,Onions,Onion,Direct Planting,Onion_jktj53zw.5ky.jpg,onion-3d-rendering-icon-illustration-free-png_y3byrc5y.kpx.png,0,1.00,1.00,2021-03-03 16:24:27.680,1,2026-01-06 07:47:04.460,1,NULL,NULL,ONIONS (ALLIUM CEPA),949CABA3-76DC-4699-98C1-67160DF2EB63,NULL,2,NULL,,0,0,1
5,Spinach,Spinach,Spinach,Spinach,Direct Planting,Spinach-1_xlqpbsqs.kwj.jpg,spinach_5520618_w3fxbf5i.hbv.png,1,1.00,1.00,2021-04-12 12:22:48.993,2,2026-01-06 07:47:50.760,1,NULL,NULL,"Growing spinach for U Can Grow is a great way to earn income. When planning your crop, take care to plan for the following factors: 
•	Exposure of fields to wind: 
o	The more and the stronger the wind is that the plants is exposed to the more difficult it is for the plant to grow optimally.  If you have no choice but to plant in windy areas, establish windbreaks to protect your crop.
•	Exposure of fields to sunlight: 
o	The extent to which the crops are exposed to sunlight determines the amount of light exposure, as well as the temperature to which plants will be exposed. The temperatures and sun exposure will influence the growth of the crops. The amount of light and the length of day (number of hours of light) could also be important in determining crop development and should be considered when choosing a crop. High temperatures and arid, dry soil may cause root shock as the roots are taken out of a moist, cool environment and exposed directly to harsh conditions. To avoid root shock one must plant crops during the coolest time of day and water them properly. Make sure soil is moist before planting.
•	Humidity:
o	The more humid an area the higher the potential for more fungal growth. This is not desirable for many crop types, especially those susceptible to fungal infection.  The changes in humidity during the course of the season must also be taken into account.
•	Air: 
o	Plants need a balanced amount of oxygen and carbon dioxide in order to grow optimally. If they are in an area where the air is polluted they will not be able to photosynthesized effectively, which will lead to reduced growth.
   

Spinach: Testing the learning: Introduction

•	Are windbreaks important to safeguard the crop? Yes/No
•	Humid conditions may cause the crop to get fungal infections. True/False
",AAE9CFCA-EF91-42D0-BFEB-C82A5BF0A970,NULL,2,1,"[{""id"":1,""unit"":""Bunches"",""units"":""3"",""kg"":""1"",""unitWeight"":""0.333"",""avgWeight"":""0"",""count"":""0"",""isLiveStock"":false}]",0,0,1
6,Spring Onion,Spring Onion,Spring Onion,Spring Onion,Direct Planting,20000981_7-fresho-spring-onion-with-roots_svh2gj0v.z0q.webp,Spring Onion_mmcy244h.nom.png,1,1.00,1.00,2021-04-12 15:23:30.277,2,2026-01-06 07:47:56.380,1,NULL,NULL,null,16D073CB-3665-4C7B-8266-15208334FC29,NULL,2,NULL,,0,0,1
7,Kale,Kale,Kale,Kale,Direct Planting,Kale1_x4wwktpp.nqp.jpg,kale_1728744_ojx2dark.psn.png,1,1.00,1.00,2021-04-13 09:27:34.977,2,2026-01-06 07:46:46.210,1,NULL,NULL,null,F2F7BBD7-B718-416C-A7C1-69587DBA15B4,NULL,2,NULL,,0,0,1
8,Cabbage,Cabbage,Cabbage,Cabbage,Direct Planting,cabbage_xae131ir.oeg.jpg,cabbage_4464930_jye0gyvb.urv.png,1,1.00,1.00,2021-04-13 12:03:05.840,2,2026-01-06 07:45:33.360,1,NULL,NULL,CABBAGES (BRASSICA OLERACEA),8944DF7A-612A-4C53-8D63-72728EB5B362,NULL,2,NULL,"[{""id"":1,""unit"":""Unit"",""units"":""1.2"",""kg"":""1"",""unitWeight"":""0.833"",""avgWeight"":""0"",""count"":""0"",""isLiveStock"":false}]",0,0,1
11,Maize,Maize,Maize,Maize,Direct Planting,maize-scaled_2xfer4ru.h3l.jpg,8502793_s5pc3jpa.mrr.png,1,1.00,0.00,2021-04-15 10:41:29.360,2,2026-01-06 07:43:25.313,1,NULL,NULL,null,BB80C536-4974-422E-91BF-6C6F9B70ADD8,NULL,2,NULL,,0,0,1
13,Carrots,Carrots,Carrots,Carrots,Direct Planting,shutterstock_440493100-e1666516567945_iuwz5nn2.phx.jpg,Carrot_gpmpd2nu.drj.png,1,1.00,1.00,2021-04-23 11:00:56.803,2,2026-01-06 07:45:42.863,1,NULL,NULL,"Carrots are a cool season crop that is direct seeded in the spring for main season production or in the summer for fall and winter storage. They are in the family apiaceae, related to parsley, celery, parsnips and cilantro. They are a biennial, meaning they will produce a flowering head and seeds in their second year of growth. For most growers, carrots are not allowed to get to their seed-producing stage, as the carrot root is harvested in the first year.

Scientific name: Daucus carota L. 
Common names: Carrots 
Family: Apiaceae/Umbelliferae
",7F097787-A1FA-4D66-A5B7-BF3B385185AE,NULL,2,1,,0,0,1
16,Cauliflower,Cauliflower,Cauliflower,Cauliflower,Direct Planting,how-to-grow-cauliflower-1403494-hero-76cf5f524a564adabb1ac6adfa311482_hhjba2ui.mek.jpg,cauliflower-Head-colour-White-brown-cultivars_2lxuia1y.mdk.webp,1,3.00,1.00,2021-05-21 14:35:14.907,2,2026-01-06 07:45:49.177,1,NULL,NULL,"Growing cauliflower for U Can Grow is a great way to earn income. When planning your cauliflower crop, take care to plan for the following factors: 
•	Exposure of fields to wind: 
o	The more and the stronger the wind is that the plants is exposed to the more difficult it is for the plant to grow optimally.  If you have no choice but to plant in windy areas, establish windbreaks to protect your crop.
•	Exposure of fields to sunlight: 
o	The extent to which the crops are exposed to sunlight determines the amount of light exposure, as well as the temperature to which plants will be exposed. The temperatures and sun exposure will influence the growth of the crops. The amount of light and the length of day (number of hours of light) could also be important in determining crop development and should be considered when choosing a crop. High temperatures and arid, dry soil may cause root shock as the roots are taken out of a moist, cool environment and exposed directly to harsh conditions. To avoid root shock one must plant crops during the coolest time of day and water them properly. Make sure soil is moist before planting.
•	Humidity:
o	The more humid an area the higher the potential for more fungal growth. This is not desirable for many crop types, especially those susceptible to fungal infection.  The changes in humidity during the course of the season must also be taken into account.
•	Air: 
o	Plants need a balanced amount of oxygen and carbon dioxide in order to grow optimally. If they are in an area where the air is polluted they will not be able to photosynthesized effectively, which will lead to reduced growth.
",BBB0BB80-2E14-4060-BF17-9C62CCEF3BB0,NULL,2,1,"[{""id"":1,""unit"":""Bunches"",""units"":""1"",""kg"":""1"",""unitWeight"":""1.000"",""avgWeight"":""0"",""count"":""0"",""isLiveStock"":false}]",0,0,1
22,Sceletium,Sceletium,Sceletium,Sceletium,Outdoor,sceletium1_gdd13bxl.oc4.jpg,Sceletium_erg2ovpn.q01.jpg,1,1.00,1.00,2023-02-10 10:32:37.670,2,2026-01-06 07:44:03.823,1,NULL,NULL,null,D4989086-A7EA-4C36-B0B6-D33C24E7B29D,NULL,2,NULL,,0,0,1
24,Brocolli,Brocolli,Broccoli,Green Sprouting,Outdoor,images_yw0z4riu.jam.jpeg,broccoli_6409468_xruem13k.0n3.png,1,1.00,1.00,2023-07-05 11:40:26.317,2,2026-01-06 07:45:22.110,1,NULL,NULL,"Broccoli is a cool-season crop that, like spinach, can be grown in the spring and autumn.  Broccoli is a member of the cabbage family. Broccoli heads are rich in vitamins and minerals.  ",BDA877E0-1778-4700-B9A2-D3FB33E90F23,00000000-0000-0000-0000-000000000000,2,0,"[{""id"":1,""unit"":""Head"",""units"":""1"",""kg"":""1"",""unitWeight"":""1.000"",""avgWeight"":""0"",""count"":""0"",""isLiveStock"":false}]",0,0,1
26,Lettuce,Lettuce,Lettuce,cos,Outdoor,Lettuce_rdixeojo.ffw.png,food_11371668_zfwtn1i0.1lr.png,1,1.00,1.00,2023-07-05 11:41:53.350,2,2026-01-06 07:46:58.460,1,NULL,NULL,null,5A75E936-2A0E-4256-92C8-057BA8EDBF91,58D56C8E-7BFD-47AE-8F94-735A1F754FC0,2,NULL,"[{""id"":1,""unit"":""Unit"",""units"":""1"",""kg"":""0.5"",""unitWeight"":""0.500"",""avgWeight"":""0"",""count"":""0"",""isLiveStock"":false}]",0,0,1
32,Thyme,Thyme,Thyme,Thyme,Outdoor,Thyme_gwqaei4o.uor.jpg,Thyme_cnkb2kj5.uxj.png,1,1.00,1.00,2023-07-05 11:45:14.350,2,2026-01-06 07:44:08.413,1,NULL,NULL,null,FA8028D1-8D4B-4E39-AA1A-AAADAA62CFE7,8CCDFCEC-216B-437A-8BFB-08C9717D766E,2,NULL,,0,0,1
33,Rosemary,Rosemary,Rosemary,Rosemary,Outdoor,Rosemary_yahviyzo.s3q.jpg,Rosemary_23jt4a5d.c5d.jpg,1,1.00,1.00,2023-07-05 11:45:31.710,2,2026-01-06 07:43:56.470,1,NULL,NULL,null,28183FBA-1100-4D28-A0BC-112CAE0DA017,BFAC4122-F638-46C3-A4E6-C880CAD3638F,2,NULL,,0,0,1
34,Parsley,Parsley,Parsley,Parsley,Outdoor,OIP_2j4wqigz.qqw.jpeg,SampleDefault.png,1,0.00,1.00,2023-07-05 11:45:56.400,2,2026-01-06 07:47:14.770,1,NULL,NULL,"Parsley is a leafy herb that grows like a small shrub, up to roughly one foot in height. It has light green stems with multiple pairs of closely ruffled leaves growing at the ends.

Parsley, (Petroselinum crispum), hardy biennial herb of the family Apiaceae, or Umbelliferae, native to Mediterranean lands. Parsley leaves were used by the ancient Greeks and Romans as a flavouring and garnish for foods. The compound leaves—deep green, tender, and curled or deeply frilled—that develop in a cluster the first season of growth are used fresh or dried, the mildly aromatic flavour being popular in fish, meats, soups, sauces, and salads. Parsley is often the principal ingredient of bouquet garni and fines herbes.

Parsley seedlings are small and weak; they emerge with difficulty from heavy crusty soils. Parsley contains less than 0.5 percent essential oil, the principal component of which is a pungent, oily, green liquid called apiol.
",5D02C2BF-6A44-4A21-9A9D-D414C90E83E2,E73B5A86-0698-40F1-8A9E-B26B5B1F792E,2,0,"[{""id"":1,""unit"":""Bunches"",""units"":""1"",""kg"":""1"",""unitWeight"":""1.000"",""avgWeight"":""0"",""count"":""0"",""isLiveStock"":false}]",0,0,1
35,Coriander,Coriander,Coriander,Coriander,Outdoor,coriander-or-cilantro-on-a-wooden-table_qqmoiq3e.jyj.jpg,Corriander_0h33oruq.lgh.png,1,1.00,1.00,2023-07-05 11:46:16.977,2,2026-01-06 07:43:42.517,1,NULL,NULL,null,E6415E0B-3D8E-4969-9185-69AD265A346B,1D762ABB-F514-413F-B7C6-9BD6812E2F32,2,NULL,,0,0,1
36,Fennel,Fennel,Fennel,Fennel,Outdoor,Fennel_mngxd1je.bl0.jpg,Fennel_klvha5co.0af.png,1,1.00,1.00,2023-07-05 11:46:47.947,2,2026-01-06 07:43:45.780,1,NULL,NULL,null,6CB5891B-60D3-4367-B5DC-C743E66A19F2,0ABABF62-0A12-41F0-BD06-B1DFB57895F0,2,NULL,,0,0,1
43,Sage,Sage,Sage,Sage,Outdoor,sage_ebkha4uz.wvh.jpg,Sage_le1mfxvy.z1u.png,1,1.00,1.00,2023-07-05 11:50:30.700,2,2026-01-06 07:44:00.423,1,NULL,NULL,null,D78B3A2A-2160-47CE-A325-E5351E0E5A26,1B1E9D11-BCF5-4756-8522-737756A015E3,2,NULL,,0,0,1
62,NULL,NULL,Vegetables,NULL,NULL,vegetables_hnkll0l1.cwa.webp,,1,1.00,1.00,2023-10-17 10:26:33.083,1,2026-01-06 07:49:08.963,1,NULL,NULL,,2399FE69-1A7F-495E-B6B6-9DFF31470E0C,00000000-0000-0000-0000-000000000000,1,0,,0,0,1
66,NULL,NULL,Onions,NULL,NULL,Onion_jktj53zw.5ky.jpg,onion-3d-rendering-icon-illustration-free-png_y3byrc5y.kpx.png,1,1.00,1.00,2023-11-23 10:02:34.910,1,2026-01-06 07:47:04.460,1,NULL,NULL,ONIONS (ALLIUM CEPA),949CABA3-76DC-4699-98C1-67160DF2EB63,00000000-0000-0000-0000-000000000000,2,0,,0,0,1
67,NULL,NULL,Green Beans,NULL,NULL,Green Beans_v2jjrxgg.mqf.jpg,green_bean_PNG2_vdhnqy13.1bb.png,1,1.00,1.00,2023-11-23 10:19:44.543,1,2026-01-06 07:46:34.707,1,NULL,NULL,"Green bean plants are either pole varieties that grow long vines or low-growing bush types. Most varieties are green, but there are also purple, red, yellow, and streaked beans. Green beans are several inches long and either round or flattened in shape. For fresh eating, they are picked young and tender before the seeds inside have fully developed. Most popular varieties have been bred to have stingless pods, but many gardeners prefer the flavour of the old-fashioned ""string"" types.

Bean plants are annual vegetables that grow quickly and are best planted in spring, as soon as all danger of frost has passed. The flowers appear about two months after planting. Harvest time varies greatly, depending on the type of bean and the desired stage or bean state: snap/green, shelling, or dry.

",68E64C27-951D-4A19-B7C9-438633C63B0B,00000000-0000-0000-0000-000000000000,2,1,,0,0,1
78,NULL,NULL,Herbs,NULL,NULL,bottles-homeopathic-globules-thu_1100x_2v1h4ugx.rlu.webp,,1,1.00,1.00,2023-11-27 11:29:19.173,1,2026-01-06 07:49:01.010,1,NULL,NULL,,8BA02F42-0D6C-4EC2-BB41-6949DCC51A06,00000000-0000-0000-0000-000000000000,1,0,,0,0,1
82,NULL,NULL,Butternut,NULL,NULL,butternut-squash-picture-id1338361877_hxlyx5j0.ex3.jpg,Butternut_o2ef2bkq.0sz.webp,1,1.00,1.00,2023-11-27 13:45:05.883,1,2026-01-06 07:45:27.487,1,NULL,NULL,null,40188525-B1EA-4A4F-AD0E-938B92970EB0,00000000-0000-0000-0000-000000000000,2,0,,0,0,1
83,NULL,NULL,Rape,NULL,NULL,Rapeseed_e43wibpq.zzf.jpg,pngtree-rapeseed-rape-png-image_8682295_kzezbwns.qqq.png,1,1.00,1.00,2023-11-27 13:48:34.713,1,2026-01-06 07:44:23.660,1,NULL,NULL,null,7F26683C-BDED-4B15-9C15-769C67D09786,00000000-0000-0000-0000-000000000000,2,0,,0,0,1
85,NULL,NULL,Ashwagandha,NULL,NULL,Ashwagandha1-696x385_pz35ufgi.i4r.jpg,Ashwaganda_24mnyofc.ado.png,1,1.00,1.00,2023-11-27 13:58:35.497,1,2026-01-06 07:43:39.050,1,NULL,NULL,null,5CFE536D-8E80-4CA9-847E-6BB60763268C,00000000-0000-0000-0000-000000000000,2,0,,0,0,1
92,NULL,NULL,Grain,NULL,NULL,main-qimg-437ee050f9d8c339c2994c32a5077d6d-lq_fgohuowm.2dh.jpg,,1,1.00,1.00,2024-02-05 10:47:18.507,1,2026-01-06 07:48:56.663,1,NULL,NULL,,2995301D-77CD-4394-89A5-9F3C3E1D360E,00000000-0000-0000-0000-000000000000,1,0,,0,0,1
93,NULL,NULL,Oilseed,NULL,NULL,CCI_UDHindu_KSL_U6J4S6PGE_R1540220876_1_4ce386ce-1a8d-44e9-9c84-08abbc663a37_zqa11cge.0ut.webp,,1,1.00,1.00,2024-02-05 10:56:32.950,1,2026-01-06 07:49:05.453,1,NULL,NULL,,8F08F380-CF34-4A90-8BDA-DEC4466F9437,00000000-0000-0000-0000-000000000000,1,0,,0,0,1
94,NULL,NULL,Onions,NULL,NULL,Onion_jktj53zw.5ky.jpg,onion-3d-rendering-icon-illustration-free-png_y3byrc5y.kpx.png,1,1.00,1.00,2024-02-05 11:04:23.970,1,2026-01-06 07:47:04.460,1,NULL,NULL,ONIONS (ALLIUM CEPA),949CABA3-76DC-4699-98C1-67160DF2EB63,00000000-0000-0000-0000-000000000000,2,0,,0,0,1
95,NULL,NULL,Pumpkin,NULL,NULL,Pumpkin-sliced-open_0g0yh1nm.efk.jpg,Pumpkin_jbc5z5pr.xpd.png,1,1.00,1.00,2024-02-05 11:28:26.093,1,2026-01-06 07:47:32.947,1,NULL,NULL,null,025AD817-AED6-4CE9-ABB6-74F9D84888CA,00000000-0000-0000-0000-000000000000,2,0,,0,0,1
96,NULL,NULL,Flowers Class,NULL,NULL,flowers_ekwxohi1.25t.jpg,,1,1.00,1.00,2024-02-05 11:43:07.157,1,2026-01-06 07:32:04.073,1,NULL,NULL,,4F29CBA7-A815-4250-A8EF-78EBD484FE6D,00000000-0000-0000-0000-000000000000,1,0,,0,0,1
97,NULL,NULL,Flower 1,NULL,NULL,Flower - dahlia_acpbq15f.t0x.jpg,flower-garden_nlri554q.soa.png,1,1.00,0.00,2024-02-05 11:43:22.053,1,2026-01-06 07:42:11.180,1,NULL,NULL,null,19C02DA9-4988-4A67-AE8D-F1EFBFACEF7B,00000000-0000-0000-0000-000000000000,2,0,"[{""id"":1,""unit"":""Bunches"",""units"":""10"",""kg"":""1"",""unitWeight"":""0.100"",""avgWeight"":""0"",""count"":""0"",""isLiveStock"":false},{""id"":2,""unit"":""Unit"",""units"":""10"",""kg"":""1"",""unitWeight"":""0.100"",""avgWeight"":""0"",""count"":""0"",""isLiveStock"":false},{""id"":3,""unit"":""Head"",""units"":""12"",""kg"":""1"",""unitWeight"":""0.083"",""avgWeight"":""0"",""count"":""0"",""isLiveStock"":false}]",0,0,1
115,NULL,NULL,Fruit,NULL,NULL,assortment-of-fruits_0ggikq5i.zrz.jpg,,1,1.00,1.00,2024-04-23 13:32:38.373,1,2026-01-06 07:48:51.350,1,NULL,NULL,,8131BDDA-A599-4EA0-8582-E935B4FBD03B,00000000-0000-0000-0000-000000000000,1,0,,0,0,1
116,NULL,NULL,Strawberries,NULL,NULL,Strawberries_fwhzne0a.klu.jpeg,strawberry_15677074_cweuapga.3fx.png,1,1.00,1.00,2024-04-23 13:36:14.820,1,2026-01-06 07:43:08.500,1,NULL,NULL,Strawberries,41178B5A-5F0E-41DA-9D30-C78539AFBFFE,00000000-0000-0000-0000-000000000000,2,0,,0,0,1
117,NULL,NULL,ZZ Test,NULL,NULL,test_binzsakx.roi.png,test_jpvcwti0.mvl.png,1,0.00,0.00,2024-04-23 16:43:32.183,1,2026-01-06 07:43:11.587,1,NULL,NULL,null,529CC72C-FA53-43C1-87A1-88F39FF474F5,00000000-0000-0000-0000-000000000000,2,0,,0,0,1
118,NULL,NULL,"Peppadew ",NULL,NULL,peppadew_qe5xi030.gkb.jpg,download_q13quwkl.c40.jpg,1,1.00,1.00,2024-05-30 12:56:16.767,1,2026-01-06 07:47:20.863,1,NULL,NULL,null,6DB7BC9A-F60E-41A1-8C59-E194C22CDA76,00000000-0000-0000-0000-000000000000,2,0,,0,0,1
119,NULL,NULL,Sweet Potato,NULL,NULL,images_efirn5rf.mls.jpg,sweet-potato_4887842_bjjykj2z.obr.png,1,1.00,1.00,2024-06-07 06:33:36.170,1,2026-01-06 07:48:01.883,1,NULL,NULL,null,7CFEB8C7-0378-45EF-88A0-AEF942E49A54,00000000-0000-0000-0000-000000000000,2,0,,0,0,1
120,NULL,NULL,"Cucumber ",NULL,NULL,download_loz1vatl.ahb.webp,images_ajverq5g.r0j.png,1,25.00,1.00,2024-09-26 11:34:29.597,1,2026-01-06 07:46:24.863,1,NULL,NULL,"Scientific name: Cucumis sativus
Common names: cucumber

",142FA3C4-9D5D-4050-BB04-C8F5FC7B68EF,00000000-0000-0000-0000-000000000000,2,0,"[{""id"":1,""unit"":""Head"",""units"":""1"",""kg"":""1"",""unitWeight"":""1.000"",""avgWeight"":""0"",""count"":""0"",""isLiveStock"":false}]",0,0,1
121,NULL,NULL,Potato,NULL,NULL,Potatoes_gjtqn1wz.tkn.jpg,potato_8856275_kirhfvlv.s2p.png,1,1.00,1.00,2024-10-16 11:33:42.453,1,2026-01-06 07:47:27.050,1,NULL,NULL,null,45AC176F-7A91-4983-8092-178859F5CCF6,00000000-0000-0000-0000-000000000000,2,0,,0,0,1
122,NULL,NULL,Chilli-Test,NULL,NULL,test_rztf3pww.ywn.png,6244686_f03zqc21.4m4.png,1,10.00,4.00,2024-11-12 14:53:10.070,1,2026-01-06 07:46:05.867,1,NULL,NULL,null,1D95DCDF-9747-401B-A72D-E7814E4C2C2D,00000000-0000-0000-0000-000000000000,3,1,,0,0,1
123,NULL,NULL,Raddish,NULL,NULL,aa8cc31b-9b7b-4230-b7ac-9e8b2451a9f0_ejy1kitb.5uy.webp,aa8cc31b-9b7b-4230-b7ac-9e8b2451a9f0_u1pagmh5.hrf.webp,1,1.00,1.00,2025-01-16 19:06:41.847,1,2026-01-06 07:47:38.940,1,NULL,NULL,null,CD3E4B17-7D5D-4CEE-855D-305BC21BD6FE,00000000-0000-0000-0000-000000000000,2,0,,0,0,1
124,NULL,NULL,Brinjal,NULL,NULL,6-2-eggplant-png-picture-1_caox5z2w.50k.png,eggplant_6409599_dxczdd5j.by3.png,1,1.00,1.00,2025-01-16 19:10:31.183,1,2026-01-06 07:45:17.650,1,NULL,NULL,null,679DB0DE-B716-4DF5-931E-C5A5ED0C2A6B,00000000-0000-0000-0000-000000000000,2,0,,0,0,1
125,NULL,NULL,Green Pepper,NULL,NULL,Green Pepper_ljmcouph.mv4.jpeg,green-pepper_2149882_4xwpy4bm.xtu.png,1,1.00,1.00,2025-01-30 11:47:57.117,1,2026-01-06 07:46:40.610,1,NULL,NULL,null,88050157-50E7-4AD3-B669-D9F28C9B98A3,00000000-0000-0000-0000-000000000000,2,0,,0,0,1
129,NULL,NULL,Rocket,NULL,NULL,Rocket_3isggacx.dnr.jpg,Rocket_d5zzrwh1.hy0.jpg,1,1.00,1.00,2025-07-02 13:25:29.427,1,2026-01-06 07:43:52.943,1,NULL,NULL,null,8C05F4E7-CC71-4E17-9F52-F00266248AA5,00000000-0000-0000-0000-000000000000,2,0,,0,0,1
130,NULL,NULL,Red Lettuce,NULL,NULL,Red Lettuce_2xbqizwg.a3q.jpg,Red Lettuce_xlhp2kjc.caa.jpg,1,1.00,1.00,2025-07-02 13:26:37.160,1,2026-01-06 07:47:44.460,1,NULL,NULL,null,1271392C-3689-483C-9552-F160D7EB4300,00000000-0000-0000-0000-000000000000,2,0,,0,0,1
131,NULL,NULL,ZZZ - Test Crop,NULL,NULL,vegetables_01hqgxbs.xhv.jpg,,0,1.00,1.00,2025-09-26 06:21:14.533,1,2026-01-06 07:49:12.620,1,2025-09-26 06:21:35.260,NULL,,047662BD-C562-437D-AEAC-FB92E6B252FB,00000000-0000-0000-0000-000000000000,1,0,,0,0,1
132,NULL,NULL,Afro Cucumber 1,NULL,NULL,cucumber_tnrh4g2a.tov.jpg,cucumber_4nslnfl2.ymp.png,1,1.00,2.00,2025-09-26 15:03:04.150,1,2026-01-06 07:44:30.940,1,NULL,NULL,This is the description for Afro Cucumber 1,D678405E-6661-4C03-A161-7F5417145B6F,047662BD-C562-437D-AEAC-FB92E6B252FB,2,1,"[{""id"":1,""unit"":""Stems"",""units"":""2"",""kg"":""1"",""unitWeight"":""0.500"",""avgWeight"":""0"",""count"":""0"",""isLiveStock"":false}]",0,0,1
133,NULL,NULL,Leeks,NULL,NULL,Leeks_eyh5ijea.i45.jpg,Leek_heraldic_wpnmrlj3.e01.svg,1,1.00,0.00,2025-11-21 08:44:12.947,1,2026-01-06 07:46:52.833,1,NULL,NULL,null,50349CFA-71E5-4EA2-9F1E-6365DB763BCE,2399FE69-1A7F-495E-B6B6-9DFF31470E0C,2,0,,0,0,1
134,NULL,NULL,Cabbage - Red,NULL,NULL,Cabbage - Red_saozfi3w.ghc.png,Cabbage - Red_p5xavlwt.gye.avif,1,1.00,0.00,2025-11-21 08:54:39.760,1,2026-01-06 07:45:37.530,1,NULL,NULL,null,B7678456-29AB-4168-8459-BE7FC55F20AC,2399FE69-1A7F-495E-B6B6-9DFF31470E0C,2,0,,0,0,1
135,NULL,NULL,Onions - Red,NULL,NULL,Onion - Red_eylmgdux.xoq.jpg,Onion - Red_lzrx3xg3.xyj.jpg,1,1.00,0.00,2025-11-21 09:01:26.863,1,2026-01-06 07:47:09.580,1,NULL,NULL,null,CB34843E-3475-4F15-BF04-6A32B901DF69,2399FE69-1A7F-495E-B6B6-9DFF31470E0C,2,0,,0,0,1
136,NULL,NULL,Garlic,NULL,NULL,Garlic_2i2f4hli.l2p.png,garlic 1_yvz0angi.3xs.jpg,1,1.00,0.00,2025-11-21 09:06:45.157,1,2026-01-06 07:46:29.340,1,NULL,NULL,null,C9189424-DA7B-4FF1-901A-8CE8FF7D5FC3,2399FE69-1A7F-495E-B6B6-9DFF31470E0C,2,0,,0,0,1
138,NULL,NULL,Afro Cucumber 2,NULL,NULL,cucumber_eqdi02kf.sh2.jpg,cucumber_yqlmw1rx.0fk.png,1,1.00,1.00,2025-12-10 12:35:04.237,1,2026-01-06 07:44:34.403,1,NULL,NULL,This is Afro Cucumber 2,52D6B2B7-AC02-41F9-A2DD-D5EB7D3CBA06,047662BD-C562-437D-AEAC-FB92E6B252FB,2,1,"[{""id"":1,""unit"":""Head"",""units"":""2"",""kg"":""1"",""unitWeight"":""0.500"",""avgWeight"":""0"",""count"":""0"",""isLiveStock"":false}]",0,0,1
147,NULL,NULL,Gem Squash,NULL,NULL,Gem Squash_n3ual2r0.ihl.jpg,Gem Squash_f2cpc5kd.za0.jpg,1,1.00,1.00,2026-02-24 07:25:46.050,1,2026-02-24 07:26:14.120,1,NULL,NULL,,C155456F-182D-468A-981E-DA6CE1C54247,2399FE69-1A7F-495E-B6B6-9DFF31470E0C,2,0,,0,0,1
